Subsector,Edgar_Subsector,Edgar_Class,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,CSC Sector,CSC Subsector,Gas,Units,Code
agrc,AG - Crops,AG - Crops:CH4,3.049196963,2.870901421,3.486645787,2.98979842,3.489318759,3.22046386,3.018281234,3.302473396,3.516209015,3.511260353,2.760274817,3.120240759,3.057426405,2.578874706,3.022659645,2.975643221,1.99224605,2.184284026,2.652718855,2.663920886,3.039409303,2.395189118,2.299118563,2.383566338,2.641875604,2.380084398,2.452742204,2.287453621,2.521859654,1.552189886,2.727920425,2.38497372,Agriculture,AG - Crops,CH4,MtCO2e,LA
agrc,AG - Crops,AG - Crops:CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agriculture,AG - Crops,CO2,MtCO2e,LA
agrc,AG - Crops,AG - Crops:N2O,0.574410147,0.430658334,0.491760127,0.445629259,0.438087269,0.377716116,0.514627821,0.477156636,0.34215425,0.42278877,0.351725156,0.377106347,0.401288227,0.432938154,0.423918169,0.399485547,0.364539332,0.487739115,0.469118536,0.476862593,0.506652262,0.486072974,0.618824711,0.693279001,0.80551568,0.586425921,0.559483066,0.632589317,0.61400854,0.406713767,0.533069037,0.539274837,Agriculture,AG - Crops,N2O,MtCO2e,LA
ccsq,CCSQ,CCSQ:CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSQ,CCSQ,CH4,MtCO2e,LA
ccsq,CCSQ,CCSQ:CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSQ,CCSQ,CO2,MtCO2e,LA
ccsq,CCSQ,CCSQ:N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSQ,CCSQ,N2O,MtCO2e,LA
entc,EN - Electricity/Heat,EN - Electricity/Heat:CH4,0.013526087,0.013266356,0.014162852,0.015973338,0.016045411,0.016438266,0.014494261,0.0161982,0.017356602,0.017084701,0.017388613,0.016642662,0.017007399,0.016034756,0.017132251,0.018136363,0.014605147,0.015134805,0.01571446,0.014591564,0.017337188,0.019550821,0.017982,0.017696659,0.017395193,0.017802954,0.017167455,0.015668179,0.015902423,0.014853976,0.014183354,0.014862404,Energy,EN - Electricity/Heat,CH4,MtCO2e,LA
entc,EN - Electricity/Heat,EN - Electricity/Heat:CO2,40.479297372,40.626957177,42.29565328,43.473133858,45.238641703,45.780205488,41.57920093,45.038194181,47.489845596,46.935230529,47.680503534,43.179211684,45.722456697,42.55665987,44.791078014,46.326335848,41.252070646,41.77111503,43.32842154,41.137834481,46.130645939,50.463543604,46.290811472,44.190373607,42.674681177,42.637787752,40.603060773,38.108188914,38.933954808,35.833083824,33.024289776,35.365523049,Energy,EN - Electricity/Heat,CO2,MtCO2e,LA
entc,EN - Electricity/Heat,EN - Electricity/Heat:N2O,0.084145185,0.087894707,0.092800199,0.096713626,0.098227934,0.094153448,0.090447802,0.100297256,0.101254014,0.101574503,0.111317363,0.106773986,0.102881984,0.108214049,0.113446961,0.113317392,0.113004862,0.107953527,0.113086317,0.10841283,0.114768052,0.121607127,0.106799807,0.104000914,0.096991844,0.083072476,0.070439679,0.069733099,0.06800372,0.048905784,0.03277684,0.050993979,Energy,EN - Electricity/Heat,N2O,MtCO2e,LA
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:CH4,7.623181899,7.139509934,6.705175673,7.458484868,6.552542462,7.184333219,7.944604697,7.905588816,9.078178862,8.299574498,7.693718476,7.90562635,7.927880204,7.859696298,9.047661189,8.221227736,7.861601475,8.169862148,8.487956292,8.117718945,16.446518353,16.558217419,16.105688847,15.991667609,15.67002182,15.405594274,14.659370092,14.58106604,13.950455984,13.649605402,13.099685056,13.094103881,Energy,EN - Fugitive Emissions,CH4,MtCO2e,LA
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:CO2,0.026938547,0.030454825,0.031189952,0.032432963,0.034580003,0.034998556,0.034753718,0.0329468,0.029365921,0.026890403,0.02553377,0.023262911,0.022013903,0.020275964,0.019231309,0.018264912,0.017620778,0.017508338,0.01795801,0.017010565,0.015522496,0.015344798,0,0,0,0,0,0,0,0,0,0,Energy,EN - Fugitive Emissions,CO2,MtCO2e,LA
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Energy,EN - Fugitive Emissions,N2O,MtCO2e,LA
frst,LULUCF - Forest Land,LULUCF - Forest Land:CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CH4,MtCO2e,LA
