accounted,aggregation_category,gas,variable_field
0,Agricultural Biomass,co2,emission_co2e_co2_agrc_biomass_bevs_and_spices|emission_co2e_co2_agrc_biomass_fruits|emission_co2e_co2_agrc_biomass_nuts|emission_co2e_co2_agrc_biomass_other_woody_perennial
0,CCSQ,ch4,emission_co2e_ch4_ccsq_direct_air_capture
0,CCSQ,co2,emission_co2e_co2_ccsq_direct_air_capture
0,CCSQ,n2o,emission_co2e_n2o_ccsq_direct_air_capture
0,Drained Organic Soils,co2,emission_co2e_co2_lndu_drained_organic_soils_croplands|emission_co2e_co2_lndu_drained_organic_soils_pastures
0,Forestry - Fires,co2,emission_co2e_co2_frst_forest_fires
0,Forestry - Methane,ch4,emission_co2e_ch4_frst_methane_mangroves|emission_co2e_ch4_frst_methane_primary|emission_co2e_ch4_frst_methane_secondary
0,Fugitive Emissions,co2,emission_co2e_co2_fgtv_fuel_coal|emission_co2e_co2_fgtv_fuel_oil
0,Fugitive Emissions,n2o,emission_co2e_n2o_fgtv_fuel_coal|emission_co2e_n2o_fgtv_fuel_natural_gas|emission_co2e_n2o_fgtv_fuel_oil
0,IPPU,ch4,emission_co2e_ch4_ippu_production_chemicals|emission_co2e_ch4_ippu_production_metals|emission_co2e_ch4_ippu_production_paper|emission_co2e_ch4_ippu_production_plastic
0,IPPU,co2,emission_co2e_co2_ippu_product_use_product_use_lubricants|emission_co2e_co2_ippu_product_use_product_use_other|emission_co2e_co2_ippu_product_use_product_use_paraffin_wax|emission_co2e_co2_ippu_production_chemicals|emission_co2e_co2_ippu_production_paper|emission_co2e_co2_ippu_production_plastic|emission_co2e_co2_ippu_production_product_use_lubricants|emission_co2e_co2_ippu_production_product_use_paraffin_wax
0,IPPU,n2o,emission_co2e_n2o_ippu_production_other_product_manufacturing|emission_co2e_n2o_ippu_production_paper|emission_co2e_n2o_ippu_production_plastic
