aggregation_category,gas,year,emission_co2e_mt
Agricultural Burning,ch4,1990,0.043555414
Agricultural Burning,ch4,1991,0.058282724
Agricultural Burning,ch4,1992,0.067383842
Agricultural Burning,ch4,1993,0.066880951
Agricultural Burning,ch4,1994,0.070056814
Agricultural Burning,ch4,1995,0.076948846
Agricultural Burning,ch4,1996,0.078818949
Agricultural Burning,ch4,1997,0.08726418
Agricultural Burning,ch4,1998,0.09694707
Agricultural Burning,ch4,1999,0.114058162
Agricultural Burning,ch4,2000,0.113104279
Agricultural Burning,ch4,2001,0.109084272
Agricultural Burning,ch4,2002,0.106934243
Agricultural Burning,ch4,2003,0.097152326
Agricultural Burning,ch4,2004,0.08319736
Agricultural Burning,ch4,2005,0.080300445
Agricultural Burning,ch4,2006,0.089592226
Agricultural Burning,ch4,2007,0.099637227
Agricultural Burning,ch4,2008,0.093787335
Agricultural Burning,ch4,2009,0.104989366
Agricultural Burning,ch4,2010,0.088917141
Agricultural Burning,ch4,2011,0.089944774
Agricultural Burning,ch4,2012,0.10968793
Agricultural Burning,ch4,2013,0.105896687
Agricultural Burning,ch4,2014,0.093973961
Agricultural Burning,ch4,2015,0.09138487
Agricultural Burning,ch4,2016,0.092348474
Agricultural Burning,ch4,2017,0.109052866
Agricultural Burning,ch4,2018,0.117346415
Agricultural Burning,ch4,2019,0.095804895
Agricultural Burning,ch4,2020,0.119354457
Agricultural Burning,ch4,2021,0.107304069
Agricultural Burning,n2o,1990,0.007141473
Agricultural Burning,n2o,1991,0.009001978
Agricultural Burning,n2o,1992,0.01046043
Agricultural Burning,n2o,1993,0.010225113
Agricultural Burning,n2o,1994,0.010746983
Agricultural Burning,n2o,1995,0.011725919
Agricultural Burning,n2o,1996,0.01211506
Agricultural Burning,n2o,1997,0.013338149
Agricultural Burning,n2o,1998,0.014714401
Agricultural Burning,n2o,1999,0.017300676
Agricultural Burning,n2o,2000,0.017230973
Agricultural Burning,n2o,2001,0.016629967
Agricultural Burning,n2o,2002,0.01633742
Agricultural Burning,n2o,2003,0.015158899
Agricultural Burning,n2o,2004,0.012535966
Agricultural Burning,n2o,2005,0.012303596
Agricultural Burning,n2o,2006,0.013560564
Agricultural Burning,n2o,2007,0.01528267
Agricultural Burning,n2o,2008,0.014793582
Agricultural Burning,n2o,2009,0.016120434
Agricultural Burning,n2o,2010,0.013670468
Agricultural Burning,n2o,2011,0.014036781
Agricultural Burning,n2o,2012,0.016947572
Agricultural Burning,n2o,2013,0.016474649
Agricultural Burning,n2o,2014,0.014647785
Agricultural Burning,n2o,2015,0.013999003
Agricultural Burning,n2o,2016,0.014066103
Agricultural Burning,n2o,2017,0.016536271
Agricultural Burning,n2o,2018,0.017776422
Agricultural Burning,n2o,2019,0.014274891
Agricultural Burning,n2o,2020,0.018042133
Agricultural Burning,n2o,2021,0.016239825
Crop Residues,n2o,1990,0.567268674
