subsector_long,aggregation_category,Subsector,gas,gas_breakdown,variable_field,variables,accounted,sit_units,sit_gas_measure,sit_sheet,sit_sections,sit_subsections,sit_categories,sit_rows,notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agriculture,Rice,agrc,ch4,,emission_co2e_ch4_agrc_anaerobicdom_rice,:math:\text{CH}_4 Emissions from Manure Management,1,MMT,ch4,Agriculture,Emissions by Gas (MMTCH4 or MMTN2O),Methane,Rice Cultivation,35,,3.005641549,2.812618697,3.419261945,2.922917469,3.419261945,3.143515014,2.939462285,3.215209216,3.419261945,3.397202191,2.647170538,3.011156487,2.950492162,2.48172238,2.939462285,2.895342776,1.902653824,2.084646799,2.55893152,2.55893152,2.950492162,2.305244344,2.189430633,2.277669651,2.547901643,2.288699528,2.36039373,2.178400755,2.404513239,1.456384991,2.608565968,2.277669651
Agriculture,Agricultural Burning,agrc,ch4,,emission_co2e_ch4_agrc_biomass_burning,:math:\text{CH}_4 Emissions from Biomass Burning,1,MMT,ch4,Agriculture,Emissions by Gas (MMTCH4 or MMTN2O),Methane,Burning of Agricultural Crop Waste ,36,,0.043555414,0.058282724,0.067383842,0.066880951,0.070056814,0.076948846,0.078818949,0.08726418,0.09694707,0.114058162,0.113104279,0.109084272,0.106934243,0.097152326,0.08319736,0.080300445,0.089592226,0.099637227,0.093787335,0.104989366,0.088917141,0.089944774,0.10968793,0.105896687,0.093973961,0.09138487,0.092348474,0.109052866,0.117346415,0.095804895,0.119354457,0.107304069
Agriculture,Agricultural Burning,agrc,n2o,,emission_co2e_n2o_agrc_biomass_burning,:math:\text{N}_2\text{O} Emissions from Biomass Burning,1,MMT,n2o,Agriculture,Emissions by Gas (MMTCH4 or MMTN2O),Nitrous Oxide,Burning of Agricultural Crop Waste ,40,,0.007141473,0.009001978,0.01046043,0.010225113,0.010746983,0.011725919,0.01211506,0.013338149,0.014714401,0.017300676,0.017230973,0.016629967,0.01633742,0.015158899,0.012535966,0.012303596,0.013560564,0.01528267,0.014793582,0.016120434,0.013670468,0.014036781,0.016947572,0.016474649,0.014647785,0.013999003,0.014066103,0.016536271,0.017776422,0.014274891,0.018042133,0.016239825
Agriculture,Agricultural Biomass,agrc,co2,,emission_co2e_co2_agrc_biomass_bevs_and_spices,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agricultural Biomass,agrc,co2,,emission_co2e_co2_agrc_biomass_fruits,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agricultural Biomass,agrc,co2,,emission_co2e_co2_agrc_biomass_nuts,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Agricultural Biomass,agrc,co2,,emission_co2e_co2_agrc_biomass_other_woody_perennial,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Drained Organic Soils,agrc,co2,,emission_co2e_co2_lndu_drained_organic_soils_croplands|emission_co2e_co2_lndu_drained_organic_soils_pastures,:math:\text{CO}_2 Emissions from Drained Organic Soils,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture|Soil Management,Crop Residues,agrc,n2o,,emission_co2e_n2o_agrc_crop_residues,:math:\text{N}_2\text{O} Emissions from Crop Residues,1,MT,n2o,Agriculture,Nitrous Oxide Emissions from Agricultural Soil Management (Metric Tons N2O),Direct,Crop Residues,46,,0.567268674,0.421656356,0.481299697,0.435404146,0.427340286,0.365990197,0.502512761,0.463818487,0.327439849,0.405488094,0.334494183,0.36047638,0.384950807,0.417779255,0.411382203,0.387181951,0.350978768,0.472456445,0.454324954,0.460742159,0.492981794,0.472036193,0.601877139,0.676804352,0.790867895,0.572426918,0.545416963,0.616053046,0.596232118,0.392438876,0.515026904,0.523035012
Carbon Capture and Sequestration,CCSQ,ccsq,ch4,,emission_co2e_ch4_ccsq_direct_air_capture,:math:\text{CH}_4 Emissions from CCSQ,0,,,,,2140.636505,265,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
