transformation_code,variable,variable_field,variable_trajectory_group
TX:AGRC:DEC_CH4_RICE,:math:\text{CH}_4 Crop Anaerobic Decomposition Emission Factor,ef_agrc_anaerobicdom_rice_kg_ch4_ha,1
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Fraction of Food Produced Lost Before Consumption,frac_agrc_agriculture_production_lost,2
TX:AGRC:INC_CONSERVATION_AGRICULTURE,Fraction of Residues Burned,frac_agrc_crop_residues_burned,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,Fraction of Residues Removed,frac_agrc_crop_residues_removed,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_cereals,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_fibers,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_other_annual,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_pulses,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_tubers,3
TX:AGRC:INC_CONSERVATION_AGRICULTURE,No Till Crop Fraction,frac_agrc_no_till_vegetables_and_vines,3
TX:CCSQ:INC_CAPTURE,Annual Capture and Sequestration by Type,qty_ccsq_mt_co2_captured_sequestered_by_direct_air_capture,4
TX:ENTC:DEC_LOSSES,Electrical Transmission Loss Fraction,frac_enfu_transmission_loss_fuel_electricity,5
TX:ENTC:TARGET_CLEAN_HYDROGEN,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_fp_hydrogen_electrolysis,6
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod REMinProductionTarget,nemomod_enfu_renewable_energy_minimum_production_target_fuel_electricity,7
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_pp_biomass,7
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_pp_coal,7
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_pp_gas,7
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_pp_nuclear,7
TX:ENTC:TARGET_RENEWABLE_ELEC,NemoMod MinShareProduction,nemomod_entc_frac_min_share_production_pp_oil,7
TX:FGTV:DEC_LEAKS,Reduction in Fugitive Leaks,frac_fgtv_reduction_in_fugitive_leaks,8
TX:FGTV:INC_FLARE,Fraction Non-Fugitive :math:\text{CH}_4 Flared,frac_fgtv_drained_and_waste_ch4_flared_fuel_coal,9
TX:FGTV:INC_FLARE,Fraction Non-Fugitive :math:\text{CH}_4 Flared,frac_fgtv_drained_and_waste_ch4_flared_fuel_oil,9
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_biomass,10
